City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,fisterra,42.9049,-9.2629,11.53,82,100,10.68,ES,1709713690
126,port mathurin,-19.6833,63.4167,25.93,78,38,9.55,MU,1709713690
127,sosua,19.7667,-70.5167,22.03,87,19,3.51,DO,1709713400
128,port alfred,-33.5906,26.891,22.88,62,23,2.68,ZA,1709713691
129,mek'ele,13.4967,39.4753,23.64,44,16,1.91,ET,1709713691
130,ust-nera,64.5667,143.2,-21.97,100,92,0.95,RU,1709713691
131,ouesso,1.6136,16.0517,25.84,82,100,2.28,CG,1709713691
132,omsk,55.0,73.4,-7.06,73,40,4.0,RU,1709713499
133,susuman,62.7833,148.1667,-25.57,95,47,1.79,RU,1709713691
134,thompson,55.7435,-97.8558,-28.91,76,20,0.0,CA,1709713639
135,acapulco de juarez,16.8634,-99.8901,23.9,83,0,0.0,MX,1709713691
136,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,42,20,5.0,RU,1709713691
137,papatowai,-46.5619,169.4708,11.92,88,26,1.44,NZ,1709713691
138,puerto aysen,-45.4,-72.7,8.37,99,100,2.18,CL,1709713692
139,stanley,54.868,-1.6985,5.16,97,75,2.57,GB,1709713692
140,remire-montjoly,4.9167,-52.2667,25.02,100,75,0.51,GF,1709713692
141,chifeng,42.2683,118.9636,1.84,15,10,0.88,CN,1709713692
142,barra,-11.0894,-43.1417,23.0,82,15,1.37,BR,1709713692
143,akureyri,65.6835,-18.0878,3.96,65,0,4.63,IS,1709713692
144,saint-philippe,-21.3585,55.7679,30.77,85,92,6.77,RE,1709713692
145,kandiari,26.9156,68.5216,26.29,12,1,3.85,PK,1709713692
146,yigo village,13.5361,144.8886,27.62,72,75,5.14,GU,1709713692
147,rio grande,-32.035,-52.0986,12.75,77,0,3.86,BR,1709713692
148,zouerate,22.7187,-12.4521,18.19,26,15,2.75,MR,1709713692
149,fale old settlement,-9.3852,-171.2468,29.56,73,13,5.08,TK,1709713693
150,san antonio de pale,-1.4014,5.6325,27.32,84,100,6.18,GQ,1709713693
151,roslavl',53.9528,32.8639,-3.53,76,76,4.56,RU,1709713693
152,acarau,-2.8856,-40.12,25.39,89,99,3.0,BR,1709713693
153,granville,-33.8333,151.0167,27.34,72,100,7.72,AU,1709713693
154,slavgorod,52.9978,78.6449,-5.5,87,100,5.3,RU,1709713693
155,eyl,7.9803,49.8164,30.72,52,7,5.43,SO,1709713693
156,berezna,51.5716,31.7846,1.34,69,89,5.81,UA,1709713693
